Log,ac_flowrate,cp_pressure,cp_flowrate,mixer_temperature_Funnel_outlet,mixer_temperature_Funnel,mixer_pressure,cp_temperature,mixer_motor_temperature_M2,mixer_motor_temperature_M1,mixer_speed_M1,mixer_torque_M2,mixer_torque_M1,mixer_speed_M2,Time
445,172.1,0.707,5.0,24.5,24.5,0.317,25.6,23.6,20.9,119.621,4.418,3.512,119.621,11:44:43.179
446,172.1,0.792,5.0,24.5,24.5,0.261,25.6,23.8,21.3,119.699,4.984,4.267,119.699,11:44:44.317
447,172.1,0.852,5.0,26.6,24.5,0.231,25.6,23.8,21.1,119.895,4.644,4.531,119.895,11:44:45.439
448,172.1,0.61,5.0,24.5,24.5,0.293,24.2,23.8,21.1,119.55,4.909,4.342,119.55,11:44:46.563
449,172.1,0.831,5.0,24.5,24.5,0.25,24.2,24.1,21.1,119.877,4.456,4.078,119.877,11:44:47.702
450,172.1,0.887,5.0,24.5,26.0,0.283,24.2,23.8,20.7,119.855,3.549,3.965,119.855,11:44:48.825
451,172.1,0.518,5.0,24.5,26.0,0.319,24.2,23.6,21.8,119.383,3.625,3.814,119.383,11:44:49.964
452,172.1,0.455,5.0,24.5,24.5,0.211,25.7,23.6,21.1,119.648,4.04,4.418,119.648,11:44:51.075
453,172.1,0.602,5.0,24.5,24.5,0.3,25.6,24.1,20.4,118.313,3.361,4.456,118.313,11:44:52.214
454,172.1,0.338,5.0,24.5,24.5,0.291,25.6,23.8,21.1,119.794,5.513,3.436,119.794,11:44:53.347
455,172.1,0.579,5.0,26.6,24.5,0.251,25.6,23.6,21.8,119.282,4.758,5.4,119.282,11:44:54.484
456,172.1,0.548,5.0,24.5,24.5,0.25,24.2,23.8,21.3,120.032,4.305,3.134,120.032,11:44:55.640
457,172.1,0.483,5.0,24.5,24.5,0.283,25.6,23.8,20.9,120.061,3.172,3.587,120.061,11:44:56.775
458,172.1,0.417,5.0,24.6,24.5,0.264,24.2,23.8,21.6,120.292,5.173,2.87,120.292,11:44:57.917
459,172.1,0.321,5.0,26.6,24.5,0.259,25.6,24.1,21.8,119.394,4.229,3.927,119.394,11:44:59.037
460,172.1,0.613,5.0,26.6,24.5,0.273,24.2,23.8,21.3,119.663,4.418,2.832,119.663,11:45:00.176
461,172.1,0.621,5.0,26.6,24.5,0.247,24.2,23.6,21.6,119.578,5.588,4.305,119.578,11:45:01.315
462,172.1,0.422,5.0,26.6,24.5,0.27,24.2,23.8,20.9,120.484,4.833,3.927,120.484,11:45:02.439
463,172.1,0.646,5.0,26.6,24.5,0.214,24.2,23.8,21.3,120.363,4.04,3.7,120.363,11:45:03.577
464,172.1,0.183,5.0,26.7,24.5,0.266,24.2,23.6,21.6,119.156,2.87,4.154,119.156,11:45:04.718
465,172.1,0.33,5.0,26.6,24.5,0.24,24.2,23.8,21.3,119.891,7.363,3.889,119.891,11:45:05.868
466,172.1,0.641,5.0,26.6,24.5,0.276,24.2,23.8,21.8,120.083,3.059,3.927,120.083,11:45:07.008
467,172.1,0.538,5.0,24.6,24.5,0.242,24.2,23.8,20.9,119.504,3.436,3.398,119.504,11:45:08.142
468,172.1,0.425,5.0,24.6,24.5,0.242,24.2,24.3,20.9,119.814,2.756,3.021,119.814,11:45:09.278
469,172.1,0.248,5.0,24.6,26.0,0.242,24.2,23.8,21.1,120.63,3.738,4.154,120.63,11:45:10.415
470,172.1,0.476,5.0,26.7,24.5,0.254,24.2,23.6,21.6,119.767,3.323,3.549,119.767,11:45:11.570
471,172.1,0.322,5.0,26.6,24.5,0.216,25.6,24.3,20.9,120.66,2.945,3.21,120.66,11:45:12.724
472,172.1,0.275,5.0,26.7,24.5,0.203,25.6,24.1,21.3,120.137,3.361,3.361,120.137,11:45:13.862
473,172.1,0.426,5.0,26.6,24.5,0.27,25.6,24.1,21.1,119.997,3.663,3.512,119.997,11:45:14.999
474,172.1,0.238,5.0,26.6,24.5,0.264,24.2,24.1,21.1,119.3,4.267,3.285,119.3,11:45:16.134
475,172.1,0.244,5.0,24.6,24.5,0.25,25.6,23.8,20.7,120.078,3.021,3.7,120.078,11:45:17.293
476,172.1,0.668,5.0,24.6,24.5,0.291,24.2,23.8,20.9,119.844,3.172,3.965,119.844,11:45:18.449
477,172.1,0.334,5.0,24.6,24.5,0.294,24.2,23.8,21.8,120.003,4.191,3.096,120.003,11:45:19.591
478,172.1,0.183,5.0,24.6,24.5,0.243,24.2,24.3,20.9,120.407,3.285,2.945,120.407,11:45:20.728
479,172.1,0.71,5.0,24.6,24.5,0.245,24.2,24.3,21.6,120.031,4.116,3.549,120.031,11:45:21.869
480,172.1,0.136,5.0,24.6,24.5,0.243,24.2,24.1,21.1,120.458,3.096,3.814,120.458,11:45:23.008
481,172.1,0.167,5.0,24.6,24.5,0.27,24.2,24.1,21.8,119.758,3.285,2.643,119.758,11:45:24.157
482,172.1,0.668,5.0,24.6,24.5,0.275,24.2,23.8,20.9,120.057,3.549,3.247,120.057,11:45:25.297
483,172.1,0.287,5.0,24.6,24.5,0.27,24.2,23.6,21.8,120.373,3.7,3.361,120.373,11:45:26.431
484,172.1,0.244,5.0,26.7,24.5,0.276,25.7,23.8,20.9,120.087,3.512,2.568,120.087,11:45:27.552
485,172.1,0.381,5.0,24.6,24.5,0.238,25.7,23.8,21.3,119.502,3.549,3.965,119.502,11:45:28.702
486,172.1,0.217,5.0,24.6,24.5,0.27,25.7,23.6,21.3,119.708,3.398,3.512,119.708,11:45:29.838
487,172.1,0.46,5.0,26.7,24.5,0.288,25.7,24.1,21.8,119.786,3.059,3.549,119.786,11:45:30.970
488,172.1,0.355,5.0,26.7,24.5,0.254,25.7,23.8,21.6,120.215,3.587,2.417,120.215,11:45:32.109
489,172.1,0.227,5.0,26.7,24.5,0.219,25.7,23.8,21.1,119.9,2.756,3.549,119.9,11:45:33.247
490,172.1,0.383,5.0,26.7,24.5,0.259,24.2,23.6,21.3,119.96,4.947,3.776,119.96,11:45:34.374
491,172.1,0.245,5.0,26.7,24.5,0.284,24.2,23.8,22.0,120.212,2.908,3.738,120.212,11:45:35.524
492,172.1,0.559,5.0,26.7,24.5,0.242,24.2,24.1,21.6,119.584,3.172,3.436,119.584,11:45:36.665
493,172.1,0.469,5.0,26.7,24.5,0.245,24.2,23.8,21.8,119.945,3.285,3.549,119.945,11:45:37.804
494,172.1,0.433,5.0,26.7,24.5,0.27,24.2,24.3,21.3,119.826,3.323,3.738,119.826,11:45:38.938
495,172.1,0.844,5.0,26.7,24.5,0.275,24.2,23.6,21.3,120.527,3.361,3.134,120.527,11:45:40.076
496,172.1,0.225,5.0,26.7,24.5,0.219,24.2,23.8,21.6,119.576,2.492,3.21,119.576,11:45:41.214
497,172.1,0.16,5.0,24.6,26.0,0.251,24.2,24.1,21.8,120.219,3.323,3.021,120.219,11:45:42.339
498,172.1,0.912,5.0,24.6,26.0,0.313,24.2,23.8,21.8,120.038,3.285,3.021,120.038,11:45:43.476
499,172.1,0.449,5.0,24.6,26.0,0.3,24.2,23.8,21.3,119.968,3.512,2.87,119.968,11:45:44.620
500,172.1,0.397,5.0,24.6,26.0,0.275,24.2,24.3,21.8,120.074,2.605,3.549,120.074,11:45:45.765
501,172.1,0.703,5.0,24.6,24.5,0.259,24.2,23.8,21.3,120.013,3.361,3.021,120.013,11:45:46.913
502,172.1,0.369,5.0,24.6,26.0,0.264,24.2,24.3,21.1,119.918,3.549,3.323,119.918,11:45:48.051
503,172.1,0.41,5.0,26.7,24.5,0.266,24.2,24.3,21.3,119.947,2.681,3.398,119.947,11:45:49.202
504,172.1,0.764,5.0,26.7,24.5,0.27,24.2,23.8,21.3,120.0,3.398,2.794,120.0,11:45:50.354
505,172.1,0.526,5.0,26.7,24.5,0.278,24.2,24.1,21.6,119.576,3.285,3.512,119.576,11:45:51.494
506,172.1,0.292,5.0,26.7,24.5,0.243,24.3,24.1,21.3,120.098,3.7,2.756,120.098,11:45:52.632
507,172.1,0.159,5.0,26.7,24.5,0.264,24.2,24.3,21.6,120.489,2.643,3.398,120.489,11:45:53.773
508,172.1,0.521,5.0,24.7,24.5,0.214,25.7,24.1,21.8,119.718,3.7,3.361,119.718,11:45:54.929
509,172.1,0.571,5.0,24.7,24.5,0.264,24.3,24.3,21.3,120.806,3.096,3.436,120.806,11:45:56.081
510,172.1,0.25,5.0,24.7,24.5,0.25,25.7,23.8,20.9,120.567,3.323,2.908,120.567,11:45:57.210
