Log,mixer_temperature_Funnel_outlet,mixer_temperature_Funnel,mixer_pressure,cp_pressure,cp_temperature,mixer_motor_temperature_M1,mixer_temperature_Funnel_plate,mixer_speed_M2,ac_flowrate,cp_flowrate,mixer_torque_M1,mixer_torque_M2,mixer_motor_temperature_M2,mixer_speed_M1,Time
164,25.5,24.8,0.27,0.581,0.0,18.6,26.4,9.619,112.2,3.0,1.661,1.775,21.1,9.619,10:49:43.636
165,27.6,24.8,0.452,0.61,0.0,19.3,24.9,9.572,112.2,3.0,1.548,2.266,21.3,9.572,10:49:44.755
166,25.6,24.8,0.337,0.584,0.0,19.8,24.9,9.657,112.2,3.0,2.87,2.039,21.1,9.657,10:49:45.855
167,25.6,24.8,0.269,0.551,0.0,19.3,26.4,9.722,112.2,3.0,1.02,1.586,20.7,9.722,10:49:46.981
168,27.6,24.8,0.281,0.601,0.0,19.1,24.9,9.722,112.2,3.0,1.51,1.586,21.1,9.722,10:49:48.087
169,25.5,26.3,0.228,0.563,0.0,18.8,24.9,9.617,112.2,3.0,1.926,1.888,21.1,9.617,10:49:49.206
170,25.6,24.8,0.309,0.576,0.0,19.3,26.4,9.665,112.2,3.0,2.303,1.359,20.7,9.665,10:49:50.312
171,25.6,24.8,0.294,0.587,0.0,18.8,26.4,10.094,112.2,3.0,1.359,1.548,21.1,10.094,10:49:51.432
172,25.6,26.3,0.264,0.533,0.0,19.1,24.9,9.701,112.2,3.0,1.246,1.548,20.9,9.701,10:49:52.551
173,25.6,24.8,0.281,0.598,0.0,19.1,24.9,9.552,112.2,3.0,2.303,2.039,20.9,9.552,10:49:53.669
174,25.6,24.8,0.365,0.574,0.0,19.3,26.4,9.692,112.2,3.0,1.322,1.473,20.7,9.692,10:49:54.790
175,27.7,24.8,0.415,0.573,0.0,19.3,26.4,9.601,112.2,3.0,1.85,1.85,21.1,9.601,10:49:55.907
176,27.7,24.8,0.284,0.603,0.0,18.8,24.9,9.702,112.2,3.0,1.473,2.228,20.7,9.702,10:49:57.024
177,25.6,26.3,0.293,0.491,0.0,19.1,24.9,9.643,112.2,3.0,1.624,1.435,20.7,9.643,10:49:58.145
178,25.6,24.8,0.28,0.584,0.0,19.3,24.9,9.701,112.2,3.0,1.964,2.077,20.9,9.701,10:49:59.267
179,27.7,24.8,0.166,0.546,0.0,19.3,25.0,9.68,112.2,3.0,2.303,1.888,20.7,9.68,10:50:00.371
180,25.6,26.3,0.337,0.493,0.0,18.6,24.9,9.621,112.2,3.0,1.85,1.926,20.7,9.621,10:50:01.490
181,25.6,24.8,0.308,0.635,0.0,18.6,26.4,9.608,112.2,3.0,1.246,2.115,20.9,9.608,10:50:02.597
182,27.7,24.8,0.363,0.63,0.0,19.3,26.4,9.56,112.2,3.0,1.888,1.661,20.7,9.56,10:50:03.717
183,27.7,24.8,0.264,0.521,0.0,19.5,24.9,9.626,112.2,3.0,1.624,2.228,20.7,9.626,10:50:04.840
184,25.6,26.3,0.178,0.582,0.0,19.5,24.9,9.595,112.2,3.0,1.133,1.661,20.7,9.595,10:50:05.958
185,25.6,24.8,0.264,0.533,0.0,19.3,24.9,9.582,112.2,3.0,2.077,1.737,20.9,9.582,10:50:07.077
186,25.6,24.8,0.322,0.577,0.0,19.3,26.4,9.57,112.2,3.0,1.624,1.586,21.1,9.57,10:50:08.210
187,27.7,26.3,0.3,0.497,0.0,19.1,24.9,9.616,112.2,3.0,1.624,2.115,21.1,9.616,10:50:09.311
188,25.6,24.8,0.251,0.458,0.0,18.8,24.9,9.79,112.2,3.0,1.888,1.926,20.9,9.79,10:50:10.432
189,25.6,24.8,0.275,0.546,0.0,19.1,25.0,9.622,112.2,3.0,1.435,2.379,20.9,9.622,10:50:11.556
190,25.6,24.8,0.341,0.564,0.0,18.8,26.4,10.217,112.2,3.0,1.586,2.266,20.9,10.217,10:50:12.676
191,27.7,24.8,0.393,0.565,0.0,19.3,25.0,9.628,112.2,3.0,1.548,1.624,21.1,9.628,10:50:13.800
192,25.6,26.3,0.295,0.579,0.0,19.1,25.0,9.766,112.2,3.0,1.284,1.246,20.7,9.766,10:50:14.906
193,25.6,24.8,0.291,0.582,0.0,18.6,26.4,9.603,112.2,3.0,1.586,1.624,21.3,9.603,10:50:16.014
194,25.6,24.8,0.236,0.568,0.0,18.4,26.4,9.97,112.2,3.0,1.397,1.888,20.9,9.97,10:50:17.132
195,25.6,26.3,0.327,0.508,0.0,20.0,25.0,9.563,112.2,3.0,1.51,1.85,21.1,9.563,10:50:18.251
196,25.6,24.8,0.275,0.574,0.0,19.8,25.0,9.524,112.2,3.0,2.303,1.473,21.1,9.524,10:50:19.370
197,25.6,24.8,0.273,0.569,0.0,19.3,26.4,9.628,112.2,3.0,2.152,2.303,21.1,9.628,10:50:20.487
198,27.7,24.8,0.271,0.588,0.0,19.3,25.0,9.655,112.2,3.0,1.473,1.85,20.9,9.655,10:50:21.608
199,27.7,26.3,0.326,0.579,0.0,19.8,25.0,9.816,112.2,3.0,1.699,1.737,20.9,9.816,10:50:22.730
200,25.6,26.3,0.361,0.602,0.0,19.5,25.0,9.603,112.2,3.0,1.737,2.001,21.1,9.603,10:50:23.853
